date,convergence_mm_per_day,site_id,convergence_cumulative_mm
2025-11-16,-0.214,margina_holdea_t2,-0.21
2025-11-17,-0.287,margina_holdea_t2,-0.5
2025-11-18,-0.143,margina_holdea_t2,-0.64
2025-11-19,-0.317,margina_holdea_t2,-0.96
2025-11-20,-0.142,margina_holdea_t2,-1.1
2025-11-21,-0.198,margina_holdea_t2,-1.3
2025-11-22,-0.282,margina_holdea_t2,-1.58
2025-11-23,-0.237,margina_holdea_t2,-1.82
2025-11-24,-0.311,margina_holdea_t2,-2.13
2025-11-25,-0.105,margina_holdea_t2,-2.24
2025-11-26,-0.175,margina_holdea_t2,-2.41
2025-11-27,-0.137,margina_holdea_t2,-2.55
2025-11-28,-0.145,margina_holdea_t2,-2.69
2025-11-29,-0.29,margina_holdea_t2,-2.98
2025-11-30,-0.109,margina_holdea_t2,-3.09
2025-12-01,-0.198,margina_holdea_t2,-3.29
2025-12-02,-0.193,margina_holdea_t2,-3.48
2025-12-03,-0.318,margina_holdea_t2,-3.8
2025-12-04,-0.165,margina_holdea_t2,-3.97
2025-12-05,-0.244,margina_holdea_t2,-4.21
2025-12-06,-0.151,margina_holdea_t2,-4.36
2025-12-07,-0.306,margina_holdea_t2,-4.67
2025-12-08,-0.149,margina_holdea_t2,-4.82
2025-12-09,-0.176,margina_holdea_t2,-4.99
2025-12-10,-0.237,margina_holdea_t2,-5.23
2025-12-11,-0.151,margina_holdea_t2,-5.38
2025-12-12,-0.259,margina_holdea_t2,-5.64
2025-12-13,-0.157,margina_holdea_t2,-5.8
2025-12-14,-0.403,margina_holdea_t2,-6.2
2025-12-15,-0.234,margina_holdea_t2,-6.43
2025-12-16,-0.015,margina_holdea_t2,-6.45
2025-12-17,-0.353,margina_holdea_t2,-6.8
2025-12-18,-0.202,margina_holdea_t2,-7.0
2025-12-19,-0.125,margina_holdea_t2,-7.13
2025-12-20,-0.237,margina_holdea_t2,-7.36
2025-12-21,-0.193,margina_holdea_t2,-7.56
2025-12-22,-0.061,margina_holdea_t2,-7.62
2025-12-23,-0.266,margina_holdea_t2,-7.88
2025-12-24,-0.298,margina_holdea_t2,-8.18
2025-12-25,-0.264,margina_holdea_t2,-8.45
2025-12-26,-0.18,margina_holdea_t2,-8.63
2025-12-27,-0.255,margina_holdea_t2,-8.88
2025-12-28,-0.279,margina_holdea_t2,-9.16
2025-12-29,-0.327,margina_holdea_t2,-9.49
2025-12-30,-0.114,margina_holdea_t2,-9.6
2025-12-31,-0.289,margina_holdea_t2,-9.89
2026-01-01,-0.217,margina_holdea_t2,-10.11
2026-01-02,-0.133,margina_holdea_t2,-10.24
2026-01-03,-0.163,margina_holdea_t2,-10.4
2026-01-04,-0.111,margina_holdea_t2,-10.52
2026-01-05,-0.214,margina_holdea_t2,-10.73
2026-01-06,-0.164,margina_holdea_t2,-10.89
2026-01-07,-0.093,margina_holdea_t2,-10.99
2026-01-08,-0.231,margina_holdea_t2,-11.22
2026-01-09,-0.094,margina_holdea_t2,-11.31
2026-01-10,-0.134,margina_holdea_t2,-11.44
2026-01-11,-0.115,margina_holdea_t2,-11.56
2026-01-12,-0.18,margina_holdea_t2,-11.74
2026-01-13,-0.216,margina_holdea_t2,-11.96
2026-01-14,-0.156,margina_holdea_t2,-12.11
2026-01-15,-0.185,margina_holdea_t2,-12.3
2026-01-16,-0.252,margina_holdea_t2,-12.55
