date,pgv_mm_per_s,site_id
2025-11-16,2.13,curtea_arges
2025-11-17,5.83,curtea_arges
2025-11-18,4.29,curtea_arges
2025-11-19,7.63,curtea_arges
2025-11-20,0.32,curtea_arges
2025-11-21,3.26,curtea_arges
2025-11-22,0.82,curtea_arges
2025-11-23,5.78,curtea_arges
2025-11-24,1.84,curtea_arges
2025-11-25,1.47,curtea_arges
2025-11-26,2.73,curtea_arges
2025-11-27,3.17,curtea_arges
2025-11-28,1.11,curtea_arges
2025-11-29,2.15,curtea_arges
2025-11-30,0.17,curtea_arges
2025-12-01,0.29,curtea_arges
2025-12-02,1.4,curtea_arges
2025-12-03,0.22,curtea_arges
2025-12-04,2.36,curtea_arges
2025-12-05,5.03,curtea_arges
2025-12-06,4.08,curtea_arges
2025-12-07,0.08,curtea_arges
2025-12-08,5.1,curtea_arges
2025-12-09,0.97,curtea_arges
2025-12-10,1.71,curtea_arges
2025-12-11,2.58,curtea_arges
2025-12-12,0.8,curtea_arges
2025-12-13,0.58,curtea_arges
2025-12-14,0.13,curtea_arges
2025-12-15,1.7,curtea_arges
2025-12-16,2.41,curtea_arges
2025-12-17,2.77,curtea_arges
2025-12-18,1.45,curtea_arges
2025-12-19,1.16,curtea_arges
2025-12-20,0.45,curtea_arges
2025-12-21,0.16,curtea_arges
2025-12-22,1.3,curtea_arges
2025-12-23,2.5,curtea_arges
2025-12-24,2.65,curtea_arges
2025-12-25,1.46,curtea_arges
2025-12-26,1.03,curtea_arges
2025-12-27,7.24,curtea_arges
2025-12-28,1.55,curtea_arges
2025-12-29,3.79,curtea_arges
2025-12-30,0.61,curtea_arges
2025-12-31,2.57,curtea_arges
2026-01-01,0.46,curtea_arges
2026-01-02,1.06,curtea_arges
2026-01-03,0.66,curtea_arges
2026-01-04,8.81,curtea_arges
2026-01-05,5.92,curtea_arges
2026-01-06,0.45,curtea_arges
2026-01-07,8.74,curtea_arges
2026-01-08,1.47,curtea_arges
2026-01-09,1.27,curtea_arges
2026-01-10,10.14,curtea_arges
2026-01-11,2.95,curtea_arges
2026-01-12,3.37,curtea_arges
2026-01-13,0.23,curtea_arges
