date,displacement_mm,site_id,velocity_mm_per_month
2025-11-16,-1.3310017597342916,cacica,
2025-11-28,2.2166182608751805,cacica,
2025-12-10,-2.555289793705608,cacica,
2025-12-22,1.5886734923814871,cacica,2.4330627100964826
2026-01-03,-0.30750311595629015,cacica,-2.103434480692892
2026-01-15,1.4788409771497797,cacica,3.36177564237949
2026-01-27,-0.40217178211233195,cacica,-1.6590377287448492
2026-02-08,5.071852460525624,cacica,4.482796313734928
2026-02-20,-4.254115609957936,cacica,-4.777463822589763
2026-03-04,-2.0647249625147106,cacica,-1.3854609836686491
2026-03-16,-2.4528622650624907,cacica,-6.270595604656762
2026-03-28,-0.6564201842075973,cacica,2.998079521458616
2026-04-09,-1.4247692251507253,cacica,0.5332964478033211
2026-04-21,1.1912734100018636,cacica,3.0367797292202954
2026-05-03,-4.744932175139234,cacica,-3.4070933257763643
2026-05-15,-0.8879548867333102,cacica,0.4473452820145126
