date,displacement_mm,site_id,velocity_mm_per_month
2025-11-16,4.031163189503782,poiana_a1,
2025-11-28,4.9585774365563955,poiana_a1,
2025-12-10,-3.2541032179843965,poiana_a1,
2025-12-22,-4.440959027627849,poiana_a1,-7.060101847609692
2026-01-03,0.7285835369281848,poiana_a1,-3.5249949163568424
2026-01-15,1.4666457711708336,poiana_a1,3.9339574909626918
2026-01-27,0.42649782577347006,poiana_a1,4.0562140445010995
2026-02-08,-1.5821124625062715,poiana_a1,-1.9255799995287135
2026-02-20,-0.591607120623298,poiana_a1,-1.7152107431617762
2026-03-04,-0.008020050123135669,poiana_a1,-0.3620982299138381
2026-03-16,1.8265414600475067,poiana_a1,2.840544935461482
2026-03-28,1.9658400545188108,poiana_a1,2.131205979285091
2026-04-09,-4.989511332683556,poiana_a1,-4.151242735467017
2026-04-21,-1.1645391101287634,poiana_a1,-2.4925671418135584
2026-05-03,-5.463648303712611,poiana_a1,-6.191240298526185
2026-05-15,-0.5561712032951378,poiana_a1,3.6944501078236813
