date,humidity_pct,cracks_cumulative,site_id
2025-11-16,50.7,0,poiana_a1
2025-11-17,53.2,0,poiana_a1
2025-11-18,47.5,0,poiana_a1
2025-11-19,50.1,0,poiana_a1
2025-11-20,51.8,0,poiana_a1
2025-11-21,48.5,0,poiana_a1
2025-11-22,53.4,0,poiana_a1
2025-11-23,58.2,0,poiana_a1
2025-11-24,51.5,0,poiana_a1
2025-11-25,53.0,0,poiana_a1
2025-11-26,50.6,0,poiana_a1
2025-11-27,47.4,0,poiana_a1
2025-11-28,49.3,0,poiana_a1
2025-11-29,50.1,0,poiana_a1
2025-11-30,54.1,0,poiana_a1
2025-12-01,49.7,0,poiana_a1
2025-12-02,50.6,0,poiana_a1
2025-12-03,49.9,0,poiana_a1
2025-12-04,50.4,0,poiana_a1
2025-12-05,49.7,0,poiana_a1
2025-12-06,55.4,0,poiana_a1
2025-12-07,54.3,2,poiana_a1
2025-12-08,50.0,2,poiana_a1
2025-12-09,49.9,2,poiana_a1
2025-12-10,52.2,2,poiana_a1
2025-12-11,46.8,2,poiana_a1
2025-12-12,47.7,2,poiana_a1
2025-12-13,52.5,2,poiana_a1
2025-12-14,52.1,2,poiana_a1
2025-12-15,49.4,2,poiana_a1
2025-12-16,47.1,2,poiana_a1
2025-12-17,53.1,2,poiana_a1
2025-12-18,55.4,2,poiana_a1
2025-12-19,52.9,2,poiana_a1
2025-12-20,54.5,2,poiana_a1
2025-12-21,52.4,2,poiana_a1
2025-12-22,51.1,2,poiana_a1
2025-12-23,54.8,2,poiana_a1
2025-12-24,51.0,2,poiana_a1
2025-12-25,54.5,2,poiana_a1
2025-12-26,48.6,2,poiana_a1
2025-12-27,54.9,2,poiana_a1
2025-12-28,47.7,4,poiana_a1
2025-12-29,47.6,4,poiana_a1
2025-12-30,51.0,4,poiana_a1
2025-12-31,53.5,4,poiana_a1
2026-01-01,50.4,4,poiana_a1
2026-01-02,48.3,4,poiana_a1
2026-01-03,51.7,4,poiana_a1
2026-01-04,47.8,4,poiana_a1
2026-01-05,47.7,4,poiana_a1
2026-01-06,54.8,4,poiana_a1
2026-01-07,47.1,4,poiana_a1
2026-01-08,49.1,4,poiana_a1
2026-01-09,50.6,4,poiana_a1
2026-01-10,47.8,4,poiana_a1
2026-01-11,48.0,5,poiana_a1
2026-01-12,47.1,5,poiana_a1
2026-01-13,50.2,5,poiana_a1
2026-01-14,51.6,5,poiana_a1
2026-01-15,52.5,5,poiana_a1
2026-01-16,54.4,5,poiana_a1
2026-01-17,45.5,5,poiana_a1
2026-01-18,53.2,5,poiana_a1
2026-01-19,52.9,5,poiana_a1
2026-01-20,50.7,5,poiana_a1
2026-01-21,49.7,5,poiana_a1
2026-01-22,53.2,5,poiana_a1
2026-01-23,52.8,5,poiana_a1
2026-01-24,54.3,5,poiana_a1
2026-01-25,47.2,6,poiana_a1
2026-01-26,56.8,6,poiana_a1
2026-01-27,52.5,6,poiana_a1
2026-01-28,49.9,6,poiana_a1
2026-01-29,53.3,6,poiana_a1
2026-01-30,49.5,6,poiana_a1
2026-01-31,48.2,6,poiana_a1
2026-02-01,49.9,6,poiana_a1
2026-02-02,49.6,6,poiana_a1
2026-02-03,49.4,6,poiana_a1
2026-02-04,50.8,6,poiana_a1
2026-02-05,43.8,6,poiana_a1
2026-02-06,45.5,6,poiana_a1
2026-02-07,46.6,6,poiana_a1
2026-02-08,53.7,8,poiana_a1
2026-02-09,51.8,8,poiana_a1
2026-02-10,49.6,8,poiana_a1
2026-02-11,45.6,8,poiana_a1
2026-02-12,50.8,8,poiana_a1
2026-02-13,50.9,8,poiana_a1
2026-02-14,50.9,8,poiana_a1
2026-02-15,51.8,9,poiana_a1
2026-02-16,47.6,9,poiana_a1
2026-02-17,52.4,9,poiana_a1
2026-02-18,50.3,9,poiana_a1
2026-02-19,48.5,9,poiana_a1
2026-02-20,48.3,9,poiana_a1
2026-02-21,50.1,9,poiana_a1
2026-02-22,53.6,10,poiana_a1
2026-02-23,46.5,10,poiana_a1
2026-02-24,51.0,10,poiana_a1
2026-02-25,53.5,10,poiana_a1
2026-02-26,45.7,10,poiana_a1
2026-02-27,53.4,10,poiana_a1
2026-02-28,52.1,10,poiana_a1
2026-03-01,52.1,10,poiana_a1
2026-03-02,49.0,10,poiana_a1
2026-03-03,55.3,10,poiana_a1
2026-03-04,50.4,10,poiana_a1
2026-03-05,49.8,10,poiana_a1
2026-03-06,54.2,10,poiana_a1
2026-03-07,58.7,10,poiana_a1
2026-03-08,51.2,10,poiana_a1
2026-03-09,50.9,10,poiana_a1
2026-03-10,48.5,10,poiana_a1
2026-03-11,56.7,10,poiana_a1
2026-03-12,58.2,10,poiana_a1
2026-03-13,53.3,10,poiana_a1
2026-03-14,48.0,10,poiana_a1
2026-03-15,55.5,11,poiana_a1
2026-03-16,52.6,11,poiana_a1
2026-03-17,57.1,11,poiana_a1
2026-03-18,56.0,11,poiana_a1
2026-03-19,53.5,11,poiana_a1
2026-03-20,50.4,11,poiana_a1
2026-03-21,55.1,11,poiana_a1
2026-03-22,51.7,13,poiana_a1
2026-03-23,50.8,13,poiana_a1
2026-03-24,59.9,13,poiana_a1
2026-03-25,51.2,13,poiana_a1
2026-03-26,51.4,13,poiana_a1
2026-03-27,57.2,13,poiana_a1
2026-03-28,52.5,13,poiana_a1
2026-03-29,57.9,13,poiana_a1
2026-03-30,52.3,13,poiana_a1
2026-03-31,57.2,13,poiana_a1
2026-04-01,53.0,13,poiana_a1
2026-04-02,57.7,13,poiana_a1
2026-04-03,51.0,13,poiana_a1
2026-04-04,58.6,13,poiana_a1
2026-04-05,54.3,13,poiana_a1
2026-04-06,46.4,13,poiana_a1
2026-04-07,59.7,13,poiana_a1
2026-04-08,57.3,13,poiana_a1
2026-04-09,49.8,13,poiana_a1
2026-04-10,54.9,13,poiana_a1
2026-04-11,58.7,13,poiana_a1
2026-04-12,55.0,13,poiana_a1
2026-04-13,54.0,13,poiana_a1
2026-04-14,57.8,13,poiana_a1
2026-04-15,56.2,13,poiana_a1
2026-04-16,54.9,13,poiana_a1
2026-04-17,59.8,13,poiana_a1
2026-04-18,54.6,13,poiana_a1
2026-04-19,58.7,13,poiana_a1
2026-04-20,53.3,13,poiana_a1
2026-04-21,54.2,13,poiana_a1
2026-04-22,55.8,13,poiana_a1
2026-04-23,64.4,13,poiana_a1
2026-04-24,52.4,13,poiana_a1
2026-04-25,55.5,13,poiana_a1
2026-04-26,58.7,13,poiana_a1
2026-04-27,56.3,13,poiana_a1
2026-04-28,56.8,13,poiana_a1
2026-04-29,51.3,13,poiana_a1
2026-04-30,52.3,13,poiana_a1
2026-05-01,57.0,13,poiana_a1
2026-05-02,53.8,13,poiana_a1
2026-05-03,58.9,13,poiana_a1
2026-05-04,59.0,13,poiana_a1
2026-05-05,56.5,13,poiana_a1
2026-05-06,56.7,13,poiana_a1
2026-05-07,53.9,13,poiana_a1
2026-05-08,56.0,13,poiana_a1
2026-05-09,61.1,13,poiana_a1
2026-05-10,57.9,13,poiana_a1
2026-05-11,59.2,13,poiana_a1
2026-05-12,54.9,13,poiana_a1
2026-05-13,58.9,13,poiana_a1
2026-05-14,57.8,13,poiana_a1
2026-05-15,63.5,13,poiana_a1
